Reduction order,Eigenvalue reassignment,Error,Runtime
185.0,2.0,558.4103638302745,5.306407928466797
186.0,2.0,79.33780824396867,5.379802465438843
187.0,2.0,118.15288939663544,5.049243927001953
188.0,2.0,29.983650796120934,5.2934441566467285
189.0,2.0,551.4935622404986,5.56376314163208
190.0,2.0,228.0472429447242,5.633727312088013
191.0,2.0,2981.1934208623243,5.201014995574951
192.0,2.0,600.263362805648,5.931722640991211
193.0,2.0,300.0108405955586,5.25537109375
194.0,2.0,,2.5607969760894775
195.0,2.0,451.56184271598465,5.455711603164673
196.0,2.0,287.84336665873536,5.695443153381348
197.0,2.0,248.74721925374593,5.60577392578125
198.0,2.0,975.9695099849168,5.5341126918792725
